author,story,annotator_1,annotator_2,sentence,VADER_neg,VADER_neu,VADER_pos,VADER_compound,TextBlob_polarity,TextBlob_subjectivity,AFINN
Grimms,106_the_poor_millers_boy_and_the_cat,N:N,N:N,"In a certain mill lived an old miller who had neither wife nor child, and three apprentices served under him.",0.0,0.896,0.104,0.2732,0.15714285714285714,0.3857142857142857,1.0
Grimms,106_the_poor_millers_boy_and_the_cat,N:N,N:N,"As they had been with him several years, he one day said to them, ""I am old, and want to sit in the chimney-corner, go out, and whichsoever of you brings me the best horse home, to him will I give the mill, and in return for it he shall take care of me till my death.""",0.0,0.859,0.141,0.8271,0.3666666666666667,0.16666666666666666,4.0
Grimms,106_the_poor_millers_boy_and_the_cat,N:D,N:D,"The third of the boys was, however, the drudge, who was looked on as foolish by the others; they begrudged the mill to him, and afterwards he would not have it.",0.065,0.935,0.0,-0.2732,0.0,0.0,-2.0
Grimms,106_the_poor_millers_boy_and_the_cat,N:N,N:D,"Then all three went out together, and when they came to the village, the two said to stupid Hans, ""Thou mayst just as well stay here, as long as thou livest thou wilt never get a horse.""",0.086,0.861,0.053,-0.3182,-0.425,0.7,-2.0
Grimms,106_the_poor_millers_boy_and_the_cat,N:N,N:N,"Hans, however, went with them, and when it was night they came to a cave in which they lay down to sleep.",0.0,1.0,0.0,0.0,-0.15555555555555559,0.2888888888888889,0.0
Grimms,106_the_poor_millers_boy_and_the_cat,N:N,N:-,"The two sharp ones waited until Hans had fallen asleep, then they got up, and went away leaving him where he was.",0.106,0.894,0.0,-0.3612,-0.125,0.75,-2.0
Grimms,106_the_poor_millers_boy_and_the_cat,N:N,N:N,"And they thought they had done a very clever thing, but it was certain to turn out ill for them.",0.151,0.653,0.196,0.0249,-0.023015873015873007,0.8571428571428571,1.0
Grimms,106_the_poor_millers_boy_and_the_cat,N:N,N:N,"When the sun arose, and Hans woke up, he was lying in a deep cavern.",0.207,0.793,0.0,-0.5267,0.0,0.4,0.0
Grimms,106_the_poor_millers_boy_and_the_cat,Su-:Su-,-:-,"He looked around on every side and exclaimed, ""Oh, heavens, where am I?""",0.0,0.816,0.184,0.4019,0.0,0.0,0.0
Grimms,106_the_poor_millers_boy_and_the_cat,Sa:Sa,S:S,"Then he got up and clambered out of the cave, went into the forest, and thought, ""Here I am quite alone and deserted, how shall I obtain a horse now?""",0.081,0.919,0.0,-0.3167,0.0,0.0,-2.0
Grimms,106_the_poor_millers_boy_and_the_cat,N:H,N:H,"Whilst he was thus walking full of thought, he met a small tabby-cat which said quite kindly, ""Hans, where are you going?""",0.0,0.851,0.149,0.5413,0.2333333333333333,0.6166666666666667,0.0
Grimms,106_the_poor_millers_boy_and_the_cat,Sa:Sa,S:S,"Alas, thou canst not help me.",0.521,0.479,0.0,-0.52,-0.4,1.0,1.0
Grimms,106_the_poor_millers_boy_and_the_cat,N:N,N:N,"I well know your desire, said the cat.",0.0,0.51,0.49,0.5859,0.0,0.0,1.0
Grimms,106_the_poor_millers_boy_and_the_cat,N:N,N:N,"You wish to have a beautiful horse.
14:14	N:N	N:N	Come with me, and be my faithful servant for seven years long, and then I will give you one more beautiful than any you have ever seen in your whole life.",0.0,0.723,0.277,0.9246,0.47000000000000003,0.6599999999999999,10.0
Grimms,106_the_poor_millers_boy_and_the_cat,Su+:N,+:H,"Well, this is a wonderful cat! thought Hans, ""but I am determined to see if she is telling the truth.""",0.0,0.673,0.327,0.7424,1.0,1.0,6.0
Grimms,106_the_poor_millers_boy_and_the_cat,N:N,N:N,"So she took him with her into her enchanted castle, where there were nothing but cats who were her servants.",0.0,0.913,0.087,0.2023,0.0,0.0,2.0
Grimms,106_the_poor_millers_boy_and_the_cat,H:H,H:H,"They leapt nimbly upstairs and downstairs, and were merry and happy.",0.0,0.556,0.444,0.802,0.8,1.0,6.0
Grimms,106_the_poor_millers_boy_and_the_cat,N:N,N:H,"In the evening when they sat down to dinner, three of them had to make music.",0.0,1.0,0.0,0.0,-0.15555555555555559,0.2888888888888889,0.0
Grimms,106_the_poor_millers_boy_and_the_cat,N:N,N:H,"One played the bassoon, the other the fiddle, and the third put the trumpet to his lips, and blew out his cheeks as much as he possibly could.",0.0,0.918,0.082,0.34,-0.041666666666666664,0.4583333333333333,0.0
Grimms,106_the_poor_millers_boy_and_the_cat,N:N,N:H,"When they had dined, the table was carried away, and the cat said, ""Now, Hans, come and dance with me.""",0.0,1.0,0.0,0.0,0.0,0.0,0.0
Grimms,106_the_poor_millers_boy_and_the_cat,N:N,N:A,"No, said he, ""I won""t dance with a pussy cat.",0.216,0.784,0.0,-0.296,0.0,0.0,2.0
Grimms,106_the_poor_millers_boy_and_the_cat,N:N,N:N,"I have never done that yet.""",0.0,1.0,0.0,0.0,0.0,0.0,0.0
Grimms,106_the_poor_millers_boy_and_the_cat,N:N,N:N,"Then take him to bed, said she to the cats.",0.0,1.0,0.0,0.0,0.0,0.0,0.0
Grimms,106_the_poor_millers_boy_and_the_cat,N:N,N:N,"So one of them lighted him to his bed-room, one pulled his shoes off, one his stockings, and at last one of them blew out the candle.",0.0,1.0,0.0,0.0,0.0,0.06666666666666667,0.0
Grimms,106_the_poor_millers_boy_and_the_cat,N:N,N:H,"Next morning they returned and helped him out of bed, one put his stockings on for him, one tied his garters, one brought his shoes, one washed him, and one dried his face with her tail.",0.0,1.0,0.0,0.0,-0.1,0.3,0.0
Grimms,106_the_poor_millers_boy_and_the_cat,H:N,H:H,That feels very soft! said Hans.,0.0,1.0,0.0,0.0,0.1625,0.45499999999999996,0.0
