id,split,V,A,D,text,VADER_neg,VADER_neu,VADER_pos,VADER_compound,TextBlob_polarity,TextBlob_subjectivity,AFINN,map_from_VAD,map_from_lex
110CYL068_1036_1079,train,3.0,3.0,3.2,"Remember what she said in my last letter? """,0.0,1.0,0.0,0.0,0.0,0.0666666666666666,0.0,3,3
110CYL068_1079_1110,test,2.8,3.1,2.8,If I wasn't working here.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5,3
110CYL068_1127_1130,train,3.0,3.0,3.0,"..""",0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,3
110CYL068_1137_1188,train,3.44,3.0,3.22,Goodwill helps people get off of public assistance.,0.0,0.729,0.271,0.3818,0.0,0.0666666666666666,5.0,3,3
110CYL068_1189_1328,train,3.55,3.27,3.46,Sherry learned through our Future Works class that she could rise out of the mire of the welfare system and support her family.,0.0,0.891,0.109,0.4019,0.0,0.125,3.0,3,3
110CYL068_1475_1558,train,3.6,3.3,3.8,Coming to Goodwill was the first step toward my becoming totally independent.,0.0,1.0,0.0,0.0,0.2333333333333333,0.4361111111111111,3.0,3,3
110CYL068_1559_1601,train,3.0,3.0,3.1,"I am now... totally off of welfare.""",0.0,1.0,0.0,0.0,0.0,0.75,0.0,3,3
110CYL068_1608_1658,train,3.1,3.1,3.1,Goodwill prepares people for life-long employment.,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3,3
110CYL068_163_275,train,3.25,2.88,3.0,"Here's another story of success from what might seem like an unlikely source: Goodwill's controller, Juli.",0.0,0.693,0.307,0.7351,-0.1,0.25,6.0,3,3
110CYL068_1659_1810,train,3.25,3.0,3.25,Cornell found a number of employment options that he never dreamed existed after a work-site injury forced him out of his job at a foundry.,0.222,0.728,0.05,-0.6705,-0.3,0.2,-3.0,3,4
110CYL068_1811_1946,dev,3.25,2.88,3.12,"He trained in desktop publishing and combined his enthusiastic work ethic with new-found skills in a burgeoning industry. """,0.0,0.833,0.167,0.4939,0.6,0.9,3.0,3,3
110CYL068_1946_1997,test,3.27,3.36,3.36,"I've got more than a job; I've got a career.""",0.0,1.0,0.0,0.0,0.5,0.5,0.0,3,3
