"Step","combined_9_GN1_1p - weights/ekman","combined_9_GN1_1p - weights/ekman__MIN","combined_9_GN1_1p - weights/ekman__MAX","combined_10_GN1_1p - weights/ekman","combined_10_GN1_1p - weights/ekman__MIN","combined_10_GN1_1p - weights/ekman__MAX","combined_8_GN1_1p - weights/ekman","combined_8_GN1_1p - weights/ekman__MIN","combined_8_GN1_1p - weights/ekman__MAX","combined_7_GN1_1p - weights/ekman","combined_7_GN1_1p - weights/ekman__MIN","combined_7_GN1_1p - weights/ekman__MAX","combined_6_GN1_1p - weights/ekman","combined_6_GN1_1p - weights/ekman__MIN","combined_6_GN1_1p - weights/ekman__MAX","combined_5_GN1_1p - weights/ekman","combined_5_GN1_1p - weights/ekman__MIN","combined_5_GN1_1p - weights/ekman__MAX","combined_4_GN1_1p - weights/ekman","combined_4_GN1_1p - weights/ekman__MIN","combined_4_GN1_1p - weights/ekman__MAX","combined_3_GN1_1p - weights/ekman","combined_3_GN1_1p - weights/ekman__MIN","combined_3_GN1_1p - weights/ekman__MAX","combined_2_GN1_1p - weights/ekman","combined_2_GN1_1p - weights/ekman__MIN","combined_2_GN1_1p - weights/ekman__MAX","combined_1_GN1_1p - weights/ekman","combined_1_GN1_1p - weights/ekman__MIN","combined_1_GN1_1p - weights/ekman__MAX"
"0","1.0000934600830078","1.0000934600830078","1.0000934600830078","0.9951540231704712","0.9951540231704712","0.9951540231704712","0.973839282989502","0.973839282989502","0.973839282989502","0.9809418320655823","0.9809418320655823","0.9809418320655823","1.0079083442687988","1.0079083442687988","1.0079083442687988","1.0021194219589233","1.0021194219589233","1.0021194219589233","1.0086791515350342","1.0086791515350342","1.0086791515350342","0.9864586591720581","0.9864586591720581","0.9864586591720581","0.9472969770431519","0.9472969770431519","0.9472969770431519","1.0241694450378418","1.0241694450378418","1.0241694450378418"
"1","1.0544426441192627","1.0544426441192627","1.0544426441192627","1.060049057006836","1.060049057006836","1.060049057006836","0.9995604753494263","0.9995604753494263","0.9995604753494263","1.0128172636032104","1.0128172636032104","1.0128172636032104","1.0686547756195068","1.0686547756195068","1.0686547756195068","1.0562551021575928","1.0562551021575928","1.0562551021575928","1.050790786743164","1.050790786743164","1.050790786743164","1.0304393768310547","1.0304393768310547","1.0304393768310547","0.9631906151771545","0.9631906151771545","0.9631906151771545","1.0870916843414307","1.0870916843414307","1.0870916843414307"
"2","1.1219158172607422","1.1219158172607422","1.1219158172607422","1.124660849571228","1.124660849571228","1.124660849571228","1.0433059930801392","1.0433059930801392","1.0433059930801392","1.0555349588394165","1.0555349588394165","1.0555349588394165","1.127280354499817","1.127280354499817","1.127280354499817","1.1149598360061646","1.1149598360061646","1.1149598360061646","1.1235027313232422","1.1235027313232422","1.1235027313232422","1.0931713581085205","1.0931713581085205","1.0931713581085205","1.0027157068252563","1.0027157068252563","1.0027157068252563","1.1475342512130737","1.1475342512130737","1.1475342512130737"
"3","1.2178784608840942","1.2178784608840942","1.2178784608840942","1.2318717241287231","1.2318717241287231","1.2318717241287231","1.0972479581832886","1.0972479581832886","1.0972479581832886","1.1342271566390991","1.1342271566390991","1.1342271566390991","1.2197628021240234","1.2197628021240234","1.2197628021240234","1.2096107006072998","1.2096107006072998","1.2096107006072998","1.2126280069351196","1.2126280069351196","1.2126280069351196","1.1820491552352905","1.1820491552352905","1.1820491552352905","1.0597054958343506","1.0597054958343506","1.0597054958343506","1.2258219718933105","1.2258219718933105","1.2258219718933105"
"4","1.346624493598938","1.346624493598938","1.346624493598938","1.3852006196975708","1.3852006196975708","1.3852006196975708","1.2057527303695679","1.2057527303695679","1.2057527303695679","1.2559387683868408","1.2559387683868408","1.2559387683868408","1.3634330034255981","1.3634330034255981","1.3634330034255981","1.3487775325775146","1.3487775325775146","1.3487775325775146","1.3280887603759766","1.3280887603759766","1.3280887603759766","1.2963261604309082","1.2963261604309082","1.2963261604309082","1.1704089641571045","1.1704089641571045","1.1704089641571045","1.3519576787948608","1.3519576787948608","1.3519576787948608"
"5","1.4505517482757568","1.4505517482757568","1.4505517482757568","1.4724804162979126","1.4724804162979126","1.4724804162979126","1.324263572692871","1.324263572692871","1.324263572692871","1.3681848049163818","1.3681848049163818","1.3681848049163818","1.473523736000061","1.473523736000061","1.473523736000061","1.4435670375823975","1.4435670375823975","1.4435670375823975","1.4447863101959229","1.4447863101959229","1.4447863101959229","1.4117906093597412","1.4117906093597412","1.4117906093597412","1.26607084274292","1.26607084274292","1.26607084274292","1.4728550910949707","1.4728550910949707","1.4728550910949707"
"6","1.5069996118545532","1.5069996118545532","1.5069996118545532","1.545602798461914","1.545602798461914","1.545602798461914","1.381840467453003","1.381840467453003","1.381840467453003","1.4171113967895508","1.4171113967895508","1.4171113967895508","1.502925157546997","1.502925157546997","1.502925157546997","1.484275460243225","1.484275460243225","1.484275460243225","1.5111361742019653","1.5111361742019653","1.5111361742019653","1.4733085632324219","1.4733085632324219","1.4733085632324219","1.312475562095642","1.312475562095642","1.312475562095642","1.5260696411132812","1.5260696411132812","1.5260696411132812"
"7","1.5432575941085815","1.5432575941085815","1.5432575941085815","1.6093419790267944","1.6093419790267944","1.6093419790267944","1.4023123979568481","1.4023123979568481","1.4023123979568481","1.4540055990219116","1.4540055990219116","1.4540055990219116","1.5444616079330444","1.5444616079330444","1.5444616079330444","1.5363585948944092","1.5363585948944092","1.5363585948944092","1.5370551347732544","1.5370551347732544","1.5370551347732544","1.4875547885894775","1.4875547885894775","1.4875547885894775","1.3716366291046143","1.3716366291046143","1.3716366291046143","1.5674339532852173","1.5674339532852173","1.5674339532852173"
"8","1.5847444534301758","1.5847444534301758","1.5847444534301758","1.612446665763855","1.612446665763855","1.612446665763855","1.406273365020752","1.406273365020752","1.406273365020752","1.466436505317688","1.466436505317688","1.466436505317688","1.5474932193756104","1.5474932193756104","1.5474932193756104","1.5490572452545166","1.5490572452545166","1.5490572452545166","1.5484451055526733","1.5484451055526733","1.5484451055526733","1.4930413961410522","1.4930413961410522","1.4930413961410522","1.3864880800247192","1.3864880800247192","1.3864880800247192","1.5912339687347412","1.5912339687347412","1.5912339687347412"
"9","1.6065452098846436","1.6065452098846436","1.6065452098846436","1.6143873929977417","1.6143873929977417","1.6143873929977417","1.412400245666504","1.412400245666504","1.412400245666504","1.4589415788650513","1.4589415788650513","1.4589415788650513","1.561287760734558","1.561287760734558","1.561287760734558","1.5353071689605713","1.5353071689605713","1.5353071689605713","1.5572048425674438","1.5572048425674438","1.5572048425674438","1.501245379447937","1.501245379447937","1.501245379447937","1.3992193937301636","1.3992193937301636","1.3992193937301636","1.58785879611969","1.58785879611969","1.58785879611969"
