"Step","combined_9_GN1_1p - weights/sem","combined_9_GN1_1p - weights/sem__MIN","combined_9_GN1_1p - weights/sem__MAX","combined_10_GN1_1p - weights/sem","combined_10_GN1_1p - weights/sem__MIN","combined_10_GN1_1p - weights/sem__MAX","combined_8_GN1_1p - weights/sem","combined_8_GN1_1p - weights/sem__MIN","combined_8_GN1_1p - weights/sem__MAX","combined_7_GN1_1p - weights/sem","combined_7_GN1_1p - weights/sem__MIN","combined_7_GN1_1p - weights/sem__MAX","combined_6_GN1_1p - weights/sem","combined_6_GN1_1p - weights/sem__MIN","combined_6_GN1_1p - weights/sem__MAX","combined_5_GN1_1p - weights/sem","combined_5_GN1_1p - weights/sem__MIN","combined_5_GN1_1p - weights/sem__MAX","combined_4_GN1_1p - weights/sem","combined_4_GN1_1p - weights/sem__MIN","combined_4_GN1_1p - weights/sem__MAX","combined_3_GN1_1p - weights/sem","combined_3_GN1_1p - weights/sem__MIN","combined_3_GN1_1p - weights/sem__MAX","combined_2_GN1_1p - weights/sem","combined_2_GN1_1p - weights/sem__MIN","combined_2_GN1_1p - weights/sem__MAX","combined_1_GN1_1p - weights/sem","combined_1_GN1_1p - weights/sem__MIN","combined_1_GN1_1p - weights/sem__MAX"
"0","1.0689001083374023","1.0689001083374023","1.0689001083374023","1.0713826417922974","1.0713826417922974","1.0713826417922974","1.089743733406067","1.089743733406067","1.089743733406067","1.0696239471435547","1.0696239471435547","1.0696239471435547","1.0640389919281006","1.0640389919281006","1.0640389919281006","1.076840877532959","1.076840877532959","1.076840877532959","1.06297767162323","1.06297767162323","1.06297767162323","1.086046576499939","1.086046576499939","1.086046576499939","1.0976676940917969","1.0976676940917969","1.0976676940917969","1.060266375541687","1.060266375541687","1.060266375541687"
"1","1.2056829929351807","1.2056829929351807","1.2056829929351807","1.1951441764831543","1.1951441764831543","1.1951441764831543","1.2560765743255615","1.2560765743255615","1.2560765743255615","1.2299789190292358","1.2299789190292358","1.2299789190292358","1.204289436340332","1.204289436340332","1.204289436340332","1.2171947956085205","1.2171947956085205","1.2171947956085205","1.2027050256729126","1.2027050256729126","1.2027050256729126","1.2374505996704102","1.2374505996704102","1.2374505996704102","1.2679665088653564","1.2679665088653564","1.2679665088653564","1.1885257959365845","1.1885257959365845","1.1885257959365845"
"2","1.3036582469940186","1.3036582469940186","1.3036582469940186","1.2719827890396118","1.2719827890396118","1.2719827890396118","1.3598873615264893","1.3598873615264893","1.3598873615264893","1.3272607326507568","1.3272607326507568","1.3272607326507568","1.290176510810852","1.290176510810852","1.290176510810852","1.311293601989746","1.311293601989746","1.311293601989746","1.2921316623687744","1.2921316623687744","1.2921316623687744","1.328583836555481","1.328583836555481","1.328583836555481","1.3798946142196655","1.3798946142196655","1.3798946142196655","1.2670342922210693","1.2670342922210693","1.2670342922210693"
"3","1.3754909038543701","1.3754909038543701","1.3754909038543701","1.3495625257492065","1.3495625257492065","1.3495625257492065","1.4616347551345825","1.4616347551345825","1.4616347551345825","1.4069745540618896","1.4069745540618896","1.4069745540618896","1.350263237953186","1.350263237953186","1.350263237953186","1.3899893760681152","1.3899893760681152","1.3899893760681152","1.3644342422485352","1.3644342422485352","1.3644342422485352","1.4001222848892212","1.4001222848892212","1.4001222848892212","1.49257493019104","1.49257493019104","1.49257493019104","1.3420212268829346","1.3420212268829346","1.3420212268829346"
"4","1.4265780448913574","1.4265780448913574","1.4265780448913574","1.385425090789795","1.385425090789795","1.385425090789795","1.5148035287857056","1.5148035287857056","1.5148035287857056","1.4625146389007568","1.4625146389007568","1.4625146389007568","1.3932303190231323","1.3932303190231323","1.3932303190231323","1.4252759218215942","1.4252759218215942","1.4252759218215942","1.3921953439712524","1.3921953439712524","1.3921953439712524","1.448311686515808","1.448311686515808","1.448311686515808","1.5684614181518555","1.5684614181518555","1.5684614181518555","1.3875967264175415","1.3875967264175415","1.3875967264175415"
"5","1.4120914936065674","1.4120914936065674","1.4120914936065674","1.3656305074691772","1.3656305074691772","1.3656305074691772","1.5226072072982788","1.5226072072982788","1.5226072072982788","1.4625120162963867","1.4625120162963867","1.4625120162963867","1.3897374868392944","1.3897374868392944","1.3897374868392944","1.430848479270935","1.430848479270935","1.430848479270935","1.374148964881897","1.374148964881897","1.374148964881897","1.446535348892212","1.446535348892212","1.446535348892212","1.5810387134552002","1.5810387134552002","1.5810387134552002","1.3862991333007812","1.3862991333007812","1.3862991333007812"
"6","1.3441540002822876","1.3441540002822876","1.3441540002822876","1.302492380142212","1.302492380142212","1.302492380142212","1.4596452713012695","1.4596452713012695","1.4596452713012695","1.4191948175430298","1.4191948175430298","1.4191948175430298","1.3598545789718628","1.3598545789718628","1.3598545789718628","1.371970534324646","1.371970534324646","1.371970534324646","1.3240909576416016","1.3240909576416016","1.3240909576416016","1.389262080192566","1.389262080192566","1.389262080192566","1.5136812925338745","1.5136812925338745","1.5136812925338745","1.3315131664276123","1.3315131664276123","1.3315131664276123"
"7","1.2950931787490845","1.2950931787490845","1.2950931787490845","1.240164041519165","1.240164041519165","1.240164041519165","1.4250543117523193","1.4250543117523193","1.4250543117523193","1.3914828300476074","1.3914828300476074","1.3914828300476074","1.3039580583572388","1.3039580583572388","1.3039580583572388","1.3084014654159546","1.3084014654159546","1.3084014654159546","1.2838196754455566","1.2838196754455566","1.2838196754455566","1.3446905612945557","1.3446905612945557","1.3446905612945557","1.4591699838638306","1.4591699838638306","1.4591699838638306","1.2845598459243774","1.2845598459243774","1.2845598459243774"
"8","1.257034420967102","1.257034420967102","1.257034420967102","1.2062879800796509","1.2062879800796509","1.2062879800796509","1.4059596061706543","1.4059596061706543","1.4059596061706543","1.3644236326217651","1.3644236326217651","1.3644236326217651","1.2745378017425537","1.2745378017425537","1.2745378017425537","1.2708414793014526","1.2708414793014526","1.2708414793014526","1.2665008306503296","1.2665008306503296","1.2665008306503296","1.3208080530166626","1.3208080530166626","1.3208080530166626","1.4318538904190063","1.4318538904190063","1.4318538904190063","1.2563718557357788","1.2563718557357788","1.2563718557357788"
"9","1.2083942890167236","1.2083942890167236","1.2083942890167236","1.2079904079437256","1.2079904079437256","1.2079904079437256","1.3757870197296143","1.3757870197296143","1.3757870197296143","1.3524744510650635","1.3524744510650635","1.3524744510650635","1.2596549987792969","1.2596549987792969","1.2596549987792969","1.2549116611480713","1.2549116611480713","1.2549116611480713","1.2304855585098267","1.2304855585098267","1.2304855585098267","1.297409176826477","1.297409176826477","1.297409176826477","1.4066507816314697","1.4066507816314697","1.4066507816314697","1.2312308549880981","1.2312308549880981","1.2312308549880981"
