"Step","combined_9_GN1_1p - weights/vad","combined_9_GN1_1p - weights/vad__MIN","combined_9_GN1_1p - weights/vad__MAX","combined_10_GN1_1p - weights/vad","combined_10_GN1_1p - weights/vad__MIN","combined_10_GN1_1p - weights/vad__MAX","combined_8_GN1_1p - weights/vad","combined_8_GN1_1p - weights/vad__MIN","combined_8_GN1_1p - weights/vad__MAX","combined_7_GN1_1p - weights/vad","combined_7_GN1_1p - weights/vad__MIN","combined_7_GN1_1p - weights/vad__MAX","combined_6_GN1_1p - weights/vad","combined_6_GN1_1p - weights/vad__MIN","combined_6_GN1_1p - weights/vad__MAX","combined_5_GN1_1p - weights/vad","combined_5_GN1_1p - weights/vad__MIN","combined_5_GN1_1p - weights/vad__MAX","combined_4_GN1_1p - weights/vad","combined_4_GN1_1p - weights/vad__MIN","combined_4_GN1_1p - weights/vad__MAX","combined_3_GN1_1p - weights/vad","combined_3_GN1_1p - weights/vad__MIN","combined_3_GN1_1p - weights/vad__MAX","combined_2_GN1_1p - weights/vad","combined_2_GN1_1p - weights/vad__MIN","combined_2_GN1_1p - weights/vad__MAX","combined_1_GN1_1p - weights/vad","combined_1_GN1_1p - weights/vad__MIN","combined_1_GN1_1p - weights/vad__MAX"
"0","0.9310067892074585","0.9310067892074585","0.9310067892074585","0.9334632754325867","0.9334632754325867","0.9334632754325867","0.9364171624183655","0.9364171624183655","0.9364171624183655","0.9494345784187317","0.9494345784187317","0.9494345784187317","0.9280521869659424","0.9280521869659424","0.9280521869659424","0.9210398197174072","0.9210398197174072","0.9210398197174072","0.9283429980278015","0.9283429980278015","0.9283429980278015","0.9274948239326477","0.9274948239326477","0.9274948239326477","0.9550350308418274","0.9550350308418274","0.9550350308418274","0.9155640006065369","0.9155640006065369","0.9155640006065369"
"1","0.739875078201294","0.739875078201294","0.739875078201294","0.7448065876960754","0.7448065876960754","0.7448065876960754","0.7443628907203674","0.7443628907203674","0.7443628907203674","0.7572038173675537","0.7572038173675537","0.7572038173675537","0.7270556688308716","0.7270556688308716","0.7270556688308716","0.726549506187439","0.726549506187439","0.726549506187439","0.7465037703514099","0.7465037703514099","0.7465037703514099","0.7321091890335083","0.7321091890335083","0.7321091890335083","0.7688419222831726","0.7688419222831726","0.7688419222831726","0.7243817448616028","0.7243817448616028","0.7243817448616028"
"2","0.5744258761405945","0.5744258761405945","0.5744258761405945","0.603356659412384","0.603356659412384","0.603356659412384","0.5968063473701477","0.5968063473701477","0.5968063473701477","0.6172041893005371","0.6172041893005371","0.6172041893005371","0.5825425982475281","0.5825425982475281","0.5825425982475281","0.5737465620040894","0.5737465620040894","0.5737465620040894","0.5843654274940491","0.5843654274940491","0.5843654274940491","0.578244686126709","0.578244686126709","0.578244686126709","0.6173890233039856","0.6173890233039856","0.6173890233039856","0.5854315161705017","0.5854315161705017","0.5854315161705017"
"3","0.4066312611103058","0.4066312611103058","0.4066312611103058","0.41856610774993896","0.41856610774993896","0.41856610774993896","0.4411173164844513","0.4411173164844513","0.4411173164844513","0.45879802107810974","0.45879802107810974","0.45879802107810974","0.4299739897251129","0.4299739897251129","0.4299739897251129","0.40039965510368347","0.40039965510368347","0.40039965510368347","0.4229379892349243","0.4229379892349243","0.4229379892349243","0.41782861948013306","0.41782861948013306","0.41782861948013306","0.4477197527885437","0.4477197527885437","0.4477197527885437","0.4321575164794922","0.4321575164794922","0.4321575164794922"
"4","0.22679758071899414","0.22679758071899414","0.22679758071899414","0.22937360405921936","0.22937360405921936","0.22937360405921936","0.27944397926330566","0.27944397926330566","0.27944397926330566","0.2815468907356262","0.2815468907356262","0.2815468907356262","0.24333713948726654","0.24333713948726654","0.24333713948726654","0.22594532370567322","0.22594532370567322","0.22594532370567322","0.27971509099006653","0.27971509099006653","0.27971509099006653","0.2553621828556061","0.2553621828556061","0.2553621828556061","0.26112931966781616","0.26112931966781616","0.26112931966781616","0.2604456841945648","0.2604456841945648","0.2604456841945648"
"5","0.13735726475715637","0.13735726475715637","0.13735726475715637","0.16188949346542358","0.16188949346542358","0.16188949346542358","0.15312980115413666","0.15312980115413666","0.15312980115413666","0.16930358111858368","0.16930358111858368","0.16930358111858368","0.13673819601535797","0.13673819601535797","0.13673819601535797","0.12558452785015106","0.12558452785015106","0.12558452785015106","0.1810656487941742","0.1810656487941742","0.1810656487941742","0.1416746973991394","0.1416746973991394","0.1416746973991394","0.15289001166820526","0.15289001166820526","0.15289001166820526","0.14084550738334656","0.14084550738334656","0.14084550738334656"
"6","0.14884698390960693","0.14884698390960693","0.14884698390960693","0.15190410614013672","0.15190410614013672","0.15190410614013672","0.15851378440856934","0.15851378440856934","0.15851378440856934","0.1636936515569687","0.1636936515569687","0.1636936515569687","0.13721999526023865","0.13721999526023865","0.13721999526023865","0.14375336468219757","0.14375336468219757","0.14375336468219757","0.16477349400520325","0.16477349400520325","0.16477349400520325","0.13742868602275848","0.13742868602275848","0.13742868602275848","0.1738431453704834","0.1738431453704834","0.1738431453704834","0.14241701364517212","0.14241701364517212","0.14241701364517212"
"7","0.16164933145046234","0.16164933145046234","0.16164933145046234","0.150493785738945","0.150493785738945","0.150493785738945","0.17263218760490417","0.17263218760490417","0.17263218760490417","0.15451180934906006","0.15451180934906006","0.15451180934906006","0.15158039331436157","0.15158039331436157","0.15158039331436157","0.15524087846279144","0.15524087846279144","0.15524087846279144","0.17912434041500092","0.17912434041500092","0.17912434041500092","0.16775451600551605","0.16775451600551605","0.16775451600551605","0.1691935658454895","0.1691935658454895","0.1691935658454895","0.1480059027671814","0.1480059027671814","0.1480059027671814"
"8","0.1582212597131729","0.1582212597131729","0.1582212597131729","0.18126478791236877","0.18126478791236877","0.18126478791236877","0.1877666562795639","0.1877666562795639","0.1877666562795639","0.1691397726535797","0.1691397726535797","0.1691397726535797","0.17796924710273743","0.17796924710273743","0.17796924710273743","0.18010103702545166","0.18010103702545166","0.18010103702545166","0.1850540041923523","0.1850540041923523","0.1850540041923523","0.18615035712718964","0.18615035712718964","0.18615035712718964","0.1816585510969162","0.1816585510969162","0.1816585510969162","0.15239422023296356","0.15239422023296356","0.15239422023296356"
"9","0.18505984544754028","0.18505984544754028","0.18505984544754028","0.17762234807014465","0.17762234807014465","0.17762234807014465","0.21181350946426392","0.21181350946426392","0.21181350946426392","0.18858450651168823","0.18858450651168823","0.18858450651168823","0.17905698716640472","0.17905698716640472","0.17905698716640472","0.20978128910064697","0.20978128910064697","0.20978128910064697","0.21231025457382202","0.21231025457382202","0.21231025457382202","0.2013455331325531","0.2013455331325531","0.2013455331325531","0.1941291093826294","0.1941291093826294","0.1941291093826294","0.18091118335723877","0.18091118335723877","0.18091118335723877"
